StartTime,TotalTimeSeconds,DistanceMeters,MaximumSpeed,Calories,AverageSpeed
2013-05-08 23:02:04,1629.1,14122.55,12.95,537,8.67
2013-05-10 14:49:09,1586.45,14647.94,13.32,590,9.23
2013-05-10 23:17:11,2350.46,17187.22,11.88,712,7.31
2013-05-13 14:46:42,1530.82,14592.92,13.93,591,9.53
2013-05-13 23:17:04,2133.71,16464.61,13.53,658,7.72
2013-05-14 13:48:47,460.61,3179.79,10.39,117,6.9
2013-05-14 14:49:02,1543.06,14648.7,13.37,598,9.49
2013-05-14 22:19:57,1679.17,14123.3,12.36,553,8.41
2013-05-15 00:42:48,291.83,1155.06,10.6,112,3.96
2013-05-15 13:48:45,460.87,3174.39,9.32,170,6.89
2013-05-15 15:13:33,1614.88,14640.58,13.17,614,9.07
2013-05-15 23:15:32,1952.42,15310.35,12.32,710,7.84
2013-05-16 13:49:47,407.55,3151.29,10.4,146,7.73
2013-05-16 14:46:32,1648.74,14622.08,13.12,596,8.87
2013-05-16 23:18:18,2209.52,16457.06,12.9,678,7.45
2013-05-20 13:48:32,443.89,3129.25,10.23,136,7.05
2013-05-20 14:49:26,1556.98,14662.82,12.65,608,9.42
2013-05-20 22:22:18,2141.24,16202.24,11.75,651,7.57
2013-05-21 13:53:14,397.99,3108.08,11.44,193,7.81
2013-05-21 14:49:07,1664.12,14620.16,11.25,596,8.79
2013-05-21 22:19:16,1766.01,14086.95,11.65,503,7.98
2013-05-21 23:59:01,535.65,3114.07,9.69,163,5.81
2013-05-22 14:00:39,394.96,3123.35,12.18,224,7.91
2013-05-22 14:52:43,2784.73,24553.51,13.57,969,8.82
2013-05-22 23:16:30,1975.61,15235.86,12.47,622,7.71
2013-05-24 13:53:35,438.47,3161.84,10.21,183,7.21
2013-05-24 14:48:22,1677.35,14652.92,12.39,589,8.74
2013-05-24 22:19:36,2215.03,16495.23,13.38,647,7.45
2013-05-28 13:51:31,467.53,3014.03,10.11,166,6.45
2013-05-28 14:47:16,1604.41,14641.82,14.64,601,9.13
2013-05-28 23:16:23,1665.82,14105.66,11.51,594,8.47
2013-05-29 00:40:39,489.04,3117.57,10.44,152,6.37
2013-05-29 13:51:34,396.18,3109.13,10.41,164,7.85
2013-05-29 14:36:31,3124.54,26419.4,13.28,1044,8.46
2013-05-29 22:58:23,1671.26,14104.04,11.98,586,8.44
2013-05-30 00:23:53,287.95,1114.86,9.15,91,3.87
2013-05-31 13:50:21,445.11,3143.51,17.3,142,7.06
2013-05-31 14:48:32,1556.5,14661.3,12.9,630,9.42
2013-05-31 23:14:19,1599.83,14115.61,13.07,579,8.82
2013-06-01 00:42:29,481.59,3091.03,9.68,132,6.42
2013-06-03 13:52:14,425.43,3140.01,10.65,118,7.38
2013-06-03 14:48:29,1651.77,14642.51,12.1,612,8.86
2013-06-03 23:19:00,1925.39,15264.06,12.58,692,7.93
2013-06-04 13:54:00,383.83,3069.49,11.04,179,8.0
2013-06-04 14:48:47,1574.17,14656.97,14.68,603,9.31
2013-06-04 23:14:47,2183.75,16449.38,11.62,678,7.53
2013-06-07 14:04:14,219.57,1835.97,11.89,96,8.36
2013-06-07 14:59:08,1597.57,14490.12,12.24,590,9.07
2013-06-07 22:17:51,1688.32,14083.43,12.39,558,8.34
2013-06-07 23:57:54,521.59,3140.98,9.07,149,6.02
2013-06-10 13:44:30,404.03,3157.76,13.03,146,7.82
2013-06-10 14:49:09,1509.13,14640.74,14.23,577,9.7
2013-06-10 23:17:57,1531.54,14109.65,13.35,583,9.21
2013-06-11 00:40:51,472.64,3107.14,10.31,189,6.57
2013-06-11 13:47:27,6.79,59.45,9.71,3,8.76
2013-06-11 13:47:38,363.5,2804.98,13.61,147,7.72
2013-06-11 14:46:03,1552.42,14647.77,13.38,604,9.44
2013-06-11 23:18:21,1669.75,14122.15,11.16,575,8.46
2013-06-12 00:42:37,283.55,1174.38,9.85,145,4.14
2013-06-17 13:38:01,630.4,4718.13,12.61,175,7.48
2013-06-17 14:46:35,1622.12,14613.26,13.35,582,9.01
2013-06-17 23:13:18,1945.3,15356.94,13.38,630,7.89
2013-06-18 13:40:25,15.09,91.52,9.59,4,6.07
2013-06-18 13:40:44,603.56,4636.81,11.72,170,7.68
2013-06-18 14:47:55,1645.76,14660.03,11.61,599,8.91
2013-06-18 22:19:33,1862.16,14102.65,10.57,480,7.57
2013-06-19 00:08:20,808.76,4744.08,11.55,317,5.87
2013-06-19 13:39:53,2142.73,19359.53,13.37,752,9.03
2013-06-19 22:19:54,1697.02,14104.71,13.61,545,8.31
2013-06-20 00:02:48,806.36,4753.99,9.63,323,5.9
2013-07-08 13:40:48,654.11,4772.26,12.7,216,7.3
2013-07-08 14:49:58,1688.06,14634.68,11.02,583,8.67
2013-07-08 23:17:22,1734.83,14194.99,10.64,525,8.18
2013-07-09 00:48:27,809.62,4480.05,9.69,179,5.53
2013-07-09 13:37:54,639.83,4837.07,11.56,200,7.56
2013-07-09 14:48:16,1602.34,14654.48,12.89,592,9.15
2013-07-09 23:17:56,1745.9,14092.11,11.37,499,8.07
2013-07-10 00:51:51,768.0,4468.96,8.94,194,5.82
2013-07-15 13:40:41,644.14,4687.27,12.35,228,7.28
2013-07-15 14:48:59,1707.05,14625.32,12.78,594,8.57
2013-07-15 23:17:08,1702.52,14114.13,13.43,559,8.29
2013-07-16 00:38:48,784.69,4508.08,12.34,189,5.75
2013-07-16 13:41:31,684.95,4748.87,13.81,205,6.93
2013-07-16 14:48:39,1625.45,14598.04,11.91,619,8.98
2013-07-16 23:16:48,1754.3,14122.17,11.66,522,8.05
2013-07-17 00:46:06,756.2,4517.86,9.42,198,5.97
2013-07-17 13:39:08,692.15,4712.33,12.43,171,6.81
2013-07-17 14:46:18,1594.59,14642.04,12.97,637,9.18
2013-07-17 23:15:55,1739.32,14142.04,12.77,583,8.13
2013-07-18 00:51:29,748.05,4493.7,8.84,201,6.01
2013-07-19 13:39:24,613.54,4777.0,12.2,237,7.79
2013-07-19 14:47:10,1603.29,14660.21,16.23,623,9.14
2013-07-19 23:20:43,1723.13,14119.31,15.43,532,8.19
2013-07-20 01:12:09,806.42,4813.28,10.05,226,5.97
2013-07-22 13:44:38,635.54,4691.28,12.23,288,7.38
2013-07-22 14:46:45,1713.36,14645.76,13.38,595,8.55
2013-07-22 23:14:00,1703.02,14104.75,12.51,500,8.28
2013-07-23 00:42:22,818.24,4517.02,9.03,198,5.52
2013-07-23 22:24:55,1715.8,14133.87,11.28,546,8.24
2013-07-24 00:03:43,772.93,4496.6,9.31,206,5.82
2013-07-25 13:38:55,639.21,4727.68,11.8,292,7.4
2013-07-25 14:46:46,1573.2,14654.57,14.02,597,9.32
2013-07-25 23:17:19,1702.51,14120.38,12.08,559,8.29
2013-07-26 00:46:44,730.29,4495.57,9.18,189,6.16
2013-07-26 13:42:12,625.54,4614.02,11.51,187,7.38
2013-07-26 14:51:34,1583.62,14649.39,15.48,596,9.25
2013-07-26 23:19:57,1672.27,14126.53,11.97,557,8.45
2013-07-27 00:51:11,736.86,4456.43,9.57,235,6.05
2013-07-29 13:40:23,648.3,4688.49,12.67,218,7.23
2013-07-29 14:46:45,1592.75,14646.67,13.49,609,9.2
2013-07-29 23:16:31,1727.35,14154.93,12.24,568,8.19
2013-07-30 00:46:39,779.45,4465.55,9.94,248,5.73
2013-07-30 13:37:41,574.61,4607.0,12.69,184,8.02
2013-07-30 14:49:53,1631.71,14666.77,14.66,607,8.99
2013-07-30 23:14:49,1696.58,14134.88,11.09,559,8.33
2013-07-31 00:43:05,820.91,4491.62,8.65,225,5.47
2013-07-31 13:42:05,545.76,4676.51,13.2,204,8.57
2013-07-31 14:48:51,1670.17,14726.91,13.44,597,8.82
2013-07-31 23:17:32,1754.22,14009.05,32.27,572,7.99
2013-08-10 21:37:19,6862.64,29403.26,7.14,808,4.28
2013-08-26 13:42:11,2378.51,19362.49,12.05,776,8.14
2013-08-26 23:16:11,2570.75,18590.55,12.46,746,7.23
2013-08-27 13:40:24,667.32,4764.01,11.93,328,7.14
2013-08-27 14:51:40,1676.17,14640.43,13.29,604,8.73
2013-08-27 23:19:57,1717.99,14072.97,11.97,505,8.19
2013-08-28 00:46:38,824.83,4515.58,9.3,210,5.47
2013-08-28 13:42:07,613.04,4719.12,11.79,305,7.7
2013-08-28 14:46:42,1728.55,14648.3,13.15,579,8.47
2013-08-28 23:18:02,1785.79,14117.26,11.33,502,7.91
2013-08-29 00:50:45,820.64,4464.25,8.79,224,5.44
2013-08-30 13:38:30,636.03,4675.17,11.43,215,7.35
2013-08-30 14:50:41,1646.67,14648.56,13.89,600,8.9
2013-08-30 23:18:56,1672.13,14136.08,11.18,587,8.45
2013-08-31 00:47:58,791.95,4499.1,8.88,202,5.68
2013-09-03 13:38:46,686.19,4776.98,12.26,149,6.96
2013-09-03 14:47:56,1641.17,14639.4,14.57,590,8.92
2013-09-03 23:19:00,1763.7,14130.83,12.03,525,8.01
2013-09-04 00:40:40,872.95,4808.08,9.51,253,5.51
2013-09-04 13:36:25,696.54,4711.73,11.64,150,6.76
2013-09-04 13:51:32,1682.43,14629.25,13.92,605,8.7
2013-09-05 00:19:31,1688.86,14109.14,11.86,570,8.35
2013-09-05 01:51:55,762.07,4517.76,9.09,205,5.93
2013-09-06 13:36:59,647.29,4694.02,12.93,169,7.25
2013-09-06 14:50:47,1633.86,14637.45,13.15,602,8.96
2013-09-06 22:56:23,1707.62,14112.97,11.19,538,8.26
2013-09-07 00:26:45,786.56,4488.29,8.76,202,5.71
2013-09-09 13:39:53,662.02,4678.11,12.32,140,7.07
2013-09-09 14:47:44,1603.79,14652.74,14.43,604,9.14
2013-09-09 23:23:09,1732.37,14103.41,10.82,524,8.14
2013-09-10 00:45:09,751.18,4494.92,10.49,224,5.98
2013-09-10 13:38:24,680.04,4760.24,11.61,163,7.0
2013-09-10 14:46:56,1631.4,14629.76,13.48,620,8.97
2013-09-10 23:21:34,1680.51,14116.93,13.98,579,8.4
2013-09-11 00:49:09,839.68,4519.57,9.48,213,5.38
2013-09-11 13:41:38,618.52,4609.99,11.36,149,7.45
2013-09-11 14:48:07,1628.68,14654.58,12.81,623,9.0
2013-09-11 23:18:21,1714.89,14111.32,10.85,560,8.23
2013-09-12 00:47:02,821.28,4495.45,9.4,226,5.47
2013-09-13 13:38:19,608.95,4657.94,12.2,184,7.65
2013-09-13 14:47:54,1638.79,14661.19,19.79,605,8.95
2013-09-13 23:19:43,1690.67,14151.82,13.58,579,8.37
2013-09-14 00:45:28,828.68,4461.33,8.62,238,5.38
2013-09-16 13:38:49,636.06,4707.49,11.58,161,7.4
2013-09-16 14:51:20,1630.07,14625.77,12.94,620,8.97
2013-09-16 23:01:10,1651.35,14120.38,11.59,580,8.55
2013-09-17 00:23:56,836.39,4808.53,9.23,249,5.75
2013-09-18 13:37:20,679.0,4675.43,11.31,152,6.89
2013-09-18 14:56:26,1642.8,14754.96,11.49,647,8.98
2013-09-18 23:18:13,1694.1,14142.77,11.86,543,8.35
2013-09-19 00:47:46,767.21,4521.78,9.49,220,5.89
2013-09-20 13:39:02,654.21,4718.6,12.65,161,7.21
2013-09-20 14:46:54,1585.98,14647.51,17.45,631,9.24
2013-09-20 23:21:19,1711.25,14075.55,12.85,537,8.23
2013-09-21 00:44:46,846.93,4519.66,9.23,219,5.34
2013-09-23 13:41:30,14.87,51.8,6.43,2,3.48
2013-09-23 13:42:01,0.97,2.07,4.03,0,2.13
2013-09-23 13:42:24,623.89,4555.67,11.14,147,7.3
2013-09-23 14:49:34,1660.32,14636.23,14.39,615,8.82
2013-09-23 22:19:24,1764.51,14124.81,11.28,513,8.0
2013-09-23 23:55:45,866.91,4848.47,9.15,293,5.59
2013-09-25 13:41:13,608.46,4738.19,12.89,186,7.79
2013-09-25 14:51:59,1564.84,14636.54,12.95,624,9.35
2013-09-26 00:19:12,4579.43,26674.43,10.77,846,5.82
2013-10-01 13:38:33,687.63,4810.33,11.65,192,7.0
2013-10-01 14:49:27,1667.06,14658.78,13.43,571,8.79
2013-10-01 23:20:09,1684.83,14145.16,12.78,546,8.4
2013-10-02 00:39:20,856.28,4818.45,9.9,216,5.63
2013-10-02 13:31:43,654.85,4659.41,12.07,178,7.12
2013-10-02 14:46:50,1580.51,14650.82,14.25,608,9.27
2013-10-02 23:19:49,1685.62,14159.31,11.62,564,8.4
2013-10-03 00:39:16,848.41,4841.04,10.24,231,5.71
2013-10-04 13:40:05,683.16,4763.54,11.6,203,6.97
2013-10-04 14:50:15,1691.6,14648.29,12.77,598,8.66
2013-10-04 23:19:35,1686.2,14131.16,12.27,578,8.38
2013-10-05 00:40:22,809.98,4836.11,9.61,200,5.97
2013-10-07 13:38:41,647.55,4658.08,11.61,216,7.19
2013-10-07 14:47:29,1630.19,14652.85,12.1,589,8.99
2013-10-07 23:24:16,1664.35,14094.28,12.57,589,8.47
2013-10-08 00:40:56,862.7,4802.4,9.58,217,5.57
2013-10-08 13:41:31,628.34,4708.32,12.68,326,7.49
2013-10-08 14:50:37,1580.68,14656.23,12.01,648,9.27
2013-10-08 23:20:41,1735.94,14129.79,11.05,534,8.14
2013-10-09 00:39:26,807.99,4799.48,10.18,203,5.94
2013-10-09 13:39:13,623.39,4674.94,13.29,347,7.5
