,TotalTimeSeconds,DistanceMeters,MaximumSpeed,Calories,AverageSpeed,Miles,Minutes,Hours,average_mph,maximum_mph
2013-03-25 14:41:03,5805.72,40173.62,11.98,1473.0,6.92,24.96,96.76,1.61,15.48,8.93
2013-03-25 23:17:52,1999.99,15315.79,11.99,649.0,7.66,9.52,33.33,0.56,17.13,8.94
2013-03-26 14:48:19,1634.75,14645.47,12.44,605.0,8.96,9.1,27.25,0.45,20.04,9.28
2013-03-26 23:18:44,2052.94,15258.52,13.38,634.0,7.43,9.48,34.22,0.57,16.63,9.98
2013-03-27 15:00:14,1696.75,14640.26,12.65,580.0,8.63,9.1,28.28,0.47,19.3,9.43
2013-03-27 23:18:36,1874.5,15256.73,14.23,711.0,8.14,9.48,31.24,0.52,18.21,10.61
2013-03-29 15:09:22,1646.14,14662.6,11.97,626.0,8.91,9.11,27.44,0.46,19.93,8.93
2013-03-29 23:18:31,2297.81,16237.07,15.18,670.0,7.07,10.09,38.3,0.64,15.81,11.32
2013-04-02 14:48:33,1593.9,14666.04,12.6,605.0,9.2,9.11,26.56,0.44,20.58,9.4
2013-04-02 23:18:36,1700.89,14102.6,11.88,543.0,8.29,8.76,28.35,0.47,18.55,8.86
2013-04-03 14:47:49,1596.4,14662.74,23.41,588.0,9.18,9.11,26.61,0.44,20.55,17.46
2013-04-03 23:18:15,1886.19,15172.19,13.06,703.0,8.04,9.43,31.44,0.52,17.99,9.74
2013-04-05 14:47:05,1598.16,14653.51,11.82,621.0,9.17,9.11,26.64,0.44,20.51,8.81
2013-04-05 23:20:57,1874.4,15173.5,12.99,722.0,8.1,9.43,31.24,0.52,18.11,9.69
2013-04-08 23:15:25,2228.4,15248.45,11.53,586.0,6.84,9.47,37.14,0.62,15.31,8.6
2013-04-09 13:44:35,3548.92,29733.52,13.88,1195.0,8.38,18.48,59.15,0.99,18.74,10.35
2013-04-09 23:14:17,2088.19,15309.67,12.89,607.0,7.33,9.51,34.8,0.58,16.4,9.61
2013-04-22 14:49:05,1640.37,14618.99,10.99,624.0,8.91,9.08,27.34,0.46,19.94,8.19
2013-04-22 23:51:29,2026.27,15219.06,11.73,760.0,7.51,9.46,33.77,0.56,16.8,8.75
2013-04-23 14:51:03,1618.18,14629.46,12.72,594.0,9.04,9.09,26.97,0.45,20.22,9.48
2013-04-23 23:19:47,1963.42,15271.96,13.03,654.0,7.78,9.49,32.72,0.55,17.4,9.72
2013-04-24 14:47:33,1571.17,14610.3,14.66,601.0,9.3,9.08,26.19,0.44,20.8,10.93
2013-04-24 22:17:51,2234.69,15840.44,18.69,615.0,7.09,9.84,37.24,0.62,15.86,13.94
2013-04-25 14:47:51,1598.65,14604.25,13.92,613.0,9.14,9.07,26.64,0.44,20.44,10.38
2013-04-25 23:14:33,2015.14,15218.58,10.62,654.0,7.55,9.46,33.59,0.56,16.89,7.92
2013-04-29 14:54:56,1520.69,14640.56,14.28,596.0,9.63,9.1,25.34,0.42,21.54,10.65
2013-04-29 23:14:39,2047.89,15275.01,13.37,645.0,7.46,9.49,34.13,0.57,16.69,9.97
2013-04-30 23:20:33,1921.84,15264.4,12.14,709.0,7.94,9.48,32.03,0.53,17.77,9.05
2013-05-01 13:43:58,433.59,3190.36,10.91,171.0,7.36,1.98,7.23,0.12,16.46,8.14
2013-05-01 13:51:33,1592.6,14634.2,13.48,596.0,9.19,9.09,26.54,0.44,20.55,10.05
2013-05-01 23:15:55,1995.77,15096.52,11.38,638.0,7.56,9.38,33.26,0.55,16.92,8.49
2013-05-03 13:45:09,421.52,3138.91,11.48,168.0,7.45,1.95,7.03,0.12,16.66,8.56
2013-05-03 14:47:04,1560.11,14628.74,13.59,596.0,9.38,9.09,26.0,0.43,20.98,10.13
2013-05-03 22:59:16,2209.53,17216.25,10.99,678.0,7.79,10.7,36.83,0.61,17.43,8.19
2013-05-06 13:49:12,2113.34,17785.68,13.66,720.0,8.42,11.05,35.22,0.59,18.83,10.19
2013-05-06 22:16:36,1698.26,14133.58,11.99,519.0,8.32,8.78,28.3,0.47,18.62,8.94
2013-05-07 00:01:52,531.08,3085.59,9.74,140.0,5.81,1.92,8.85,0.15,13.0,7.26
2013-05-08 14:43:34,3289.01,27575.65,14.25,1144.0,8.38,17.13,54.82,0.91,18.75,10.63
2013-05-08 23:02:04,1629.1,14122.55,12.95,537.0,8.67,8.78,27.15,0.45,19.39,9.66
2013-05-10 14:49:09,1586.45,14647.94,13.32,590.0,9.23,9.1,26.44,0.44,20.65,9.93
2013-05-10 23:17:11,2350.46,17187.22,11.88,712.0,7.31,10.68,39.17,0.65,16.36,8.86
2013-05-13 14:46:42,1530.82,14592.92,13.93,591.0,9.53,9.07,25.51,0.43,21.32,10.39
2013-05-13 23:17:04,2133.71,16464.61,13.53,658.0,7.72,10.23,35.56,0.59,17.26,10.09
2013-05-14 13:48:47,460.61,3179.79,10.39,117.0,6.9,1.98,7.68,0.13,15.44,7.75
2013-05-14 14:49:02,1543.06,14648.7,13.37,598.0,9.49,9.1,25.72,0.43,21.24,9.97
2013-05-14 22:19:57,1679.17,14123.3,12.36,553.0,8.41,8.78,27.99,0.47,18.81,9.22
2013-05-15 00:42:48,291.83,1155.06,10.6,112.0,3.96,0.72,4.86,0.08,8.85,7.9
2013-05-15 13:48:45,460.87,3174.39,9.32,170.0,6.89,1.97,7.68,0.13,15.41,6.95
2013-05-15 15:13:33,1614.88,14640.58,13.17,614.0,9.07,9.1,26.91,0.45,20.28,9.82
2013-05-15 23:15:32,1952.42,15310.35,12.32,710.0,7.84,9.51,32.54,0.54,17.54,9.19
2013-05-16 13:49:47,407.55,3151.29,10.4,146.0,7.73,1.96,6.79,0.11,17.3,7.75
2013-05-16 14:46:32,1648.74,14622.08,13.12,596.0,8.87,9.09,27.48,0.46,19.84,9.78
2013-05-16 23:18:18,2209.52,16457.06,12.9,678.0,7.45,10.23,36.83,0.61,16.66,9.62
2013-05-20 13:48:32,443.89,3129.25,10.23,136.0,7.05,1.94,7.4,0.12,15.77,7.63
2013-05-20 14:49:26,1556.98,14662.82,12.65,608.0,9.42,9.11,25.95,0.43,21.07,9.43
2013-05-20 22:22:18,2141.24,16202.24,11.75,651.0,7.57,10.07,35.69,0.59,16.93,8.76
2013-05-21 13:53:14,397.99,3108.08,11.44,193.0,7.81,1.93,6.63,0.11,17.47,8.53
2013-05-21 14:49:07,1664.12,14620.16,11.25,596.0,8.79,9.08,27.74,0.46,19.65,8.39
2013-05-21 22:19:16,1766.01,14086.95,11.65,503.0,7.98,8.75,29.43,0.49,17.84,8.69
2013-05-21 23:59:01,535.65,3114.07,9.69,163.0,5.81,1.93,8.93,0.15,13.0,7.23
2013-05-22 14:00:39,394.96,3123.35,12.18,224.0,7.91,1.94,6.58,0.11,17.69,9.08
2013-05-22 14:52:43,2784.73,24553.51,13.57,969.0,8.82,15.26,46.41,0.77,19.72,10.12
2013-05-22 23:16:30,1975.61,15235.86,12.47,622.0,7.71,9.47,32.93,0.55,17.25,9.3
2013-05-24 13:53:35,438.47,3161.84,10.21,183.0,7.21,1.96,7.31,0.12,16.13,7.61
2013-05-24 14:48:22,1677.35,14652.92,12.39,589.0,8.74,9.1,27.96,0.47,19.54,9.24
2013-05-24 22:19:36,2215.03,16495.23,13.38,647.0,7.45,10.25,36.92,0.62,16.66,9.98
2013-05-28 13:51:31,467.53,3014.03,10.11,166.0,6.45,1.87,7.79,0.13,14.42,7.54
2013-05-28 14:47:16,1604.41,14641.82,14.64,601.0,9.13,9.1,26.74,0.45,20.41,10.92
2013-05-28 23:16:23,1665.82,14105.66,11.51,594.0,8.47,8.76,27.76,0.46,18.94,8.58
2013-05-29 00:40:39,489.04,3117.57,10.44,152.0,6.37,1.94,8.15,0.14,14.26,7.78
2013-05-29 13:51:34,396.18,3109.13,10.41,164.0,7.85,1.93,6.6,0.11,17.56,7.76
2013-05-29 14:36:31,3124.54,26419.4,13.28,1044.0,8.46,16.42,52.08,0.87,18.91,9.9
2013-05-29 22:58:23,1671.26,14104.04,11.98,586.0,8.44,8.76,27.85,0.46,18.88,8.93
2013-05-30 00:23:53,287.95,1114.86,9.15,91.0,3.87,0.69,4.8,0.08,8.66,6.82
2013-05-31 13:50:21,445.11,3143.51,17.3,142.0,7.06,1.95,7.42,0.12,15.8,12.9
2013-05-31 14:48:32,1556.5,14661.3,12.9,630.0,9.42,9.11,25.94,0.43,21.07,9.62
2013-05-31 23:14:19,1599.83,14115.61,13.07,579.0,8.82,8.77,26.66,0.44,19.74,9.75
2013-06-01 00:42:29,481.59,3091.03,9.68,132.0,6.42,1.92,8.03,0.13,14.36,7.22
2013-06-03 13:52:14,425.43,3140.01,10.65,118.0,7.38,1.95,7.09,0.12,16.51,7.94
2013-06-03 14:48:29,1651.77,14642.51,12.1,612.0,8.86,9.1,27.53,0.46,19.83,9.02
2013-06-03 23:19:00,1925.39,15264.06,12.58,692.0,7.93,9.48,32.09,0.53,17.73,9.38
2013-06-04 13:54:00,383.83,3069.49,11.04,179.0,8.0,1.91,6.4,0.11,17.89,8.23
2013-06-04 14:48:47,1574.17,14656.97,14.68,603.0,9.31,9.11,26.24,0.44,20.83,10.95
2013-06-04 23:14:47,2183.75,16449.38,11.62,678.0,7.53,10.22,36.4,0.61,16.85,8.66
2013-06-07 14:04:14,219.57,1835.97,11.89,96.0,8.36,1.14,3.66,0.06,18.7,8.87
2013-06-07 14:59:08,1597.57,14490.12,12.24,590.0,9.07,9.0,26.63,0.44,20.29,9.13
2013-06-07 22:17:51,1688.32,14083.43,12.39,558.0,8.34,8.75,28.14,0.47,18.66,9.24
2013-06-07 23:57:54,521.59,3140.98,9.07,149.0,6.02,1.95,8.69,0.14,13.47,6.76
2013-06-10 13:44:30,404.03,3157.76,13.03,146.0,7.82,1.96,6.73,0.11,17.48,9.72
2013-06-10 14:49:09,1509.13,14640.74,14.23,577.0,9.7,9.1,25.15,0.42,21.7,10.61
2013-06-10 23:17:57,1531.54,14109.65,13.35,583.0,9.21,8.77,25.53,0.43,20.61,9.95
2013-06-11 00:40:51,472.64,3107.14,10.31,189.0,6.57,1.93,7.88,0.13,14.71,7.69
2013-06-11 13:47:27,6.79,59.45,9.71,3.0,8.76,0.04,0.11,0.0,19.59,7.24
2013-06-11 13:47:38,363.5,2804.98,13.61,147.0,7.72,1.74,6.06,0.1,17.26,10.15
2013-06-11 14:46:03,1552.42,14647.77,13.38,604.0,9.44,9.1,25.87,0.43,21.11,9.98
