,index,StartTime,TotalTimeSeconds,DistanceMeters,MaximumSpeed,Calories,AverageSpeed,parsed,zoned,hour,Miles,Minutes,Trip_hours,average_mph,maximum_mph,leg_flag,month,day,weekday
129,398,2014-01-02 15:46:13,1742.94,14638.76,11.63,559.0,8.4,2014-01-02 15:46:13+00:00,2014-01-02 07:46:13-08:00,7,9.096126362359726,29.049,0.48414999999999997,18.787826835401688,26.01563373805411,morning_suburb,1,2,3
130,363,2014-01-03 15:47:39,1740.74,14577.64,11.48,547.0,8.37,2014-01-03 15:47:39+00:00,2014-01-03 07:47:39-08:00,7,9.05814806069569,29.012333333333334,0.4835388888888889,18.73302906723835,25.680092460263214,morning_suburb,1,3,4
131,451,2014-01-06 15:46:41,1708.92,14656.27,12.98,573.0,8.58,2014-01-06 15:46:41+00:00,2014-01-06 07:46:41-08:00,7,9.107006598978463,28.482000000000003,0.47470000000000007,19.184762163426296,29.03550523817217,morning_suburb,1,6,0
132,518,2014-01-07 15:48:45,1702.76,14626.14,13.61,565.0,8.59,2014-01-07 15:48:45+00:00,2014-01-07 07:48:45-08:00,7,9.088284638423204,28.37933333333333,0.47298888888888885,19.214583792386208,30.444778604893934,morning_suburb,1,7,1
133,28,2014-01-08 15:48:32,1793.13,14658.64,11.57,541.0,8.17,2014-01-08 15:48:32+00:00,2014-01-08 07:48:32-08:00,7,9.108479252364324,29.8855,0.49809166666666665,18.286752945135916,25.881417226937753,morning_suburb,1,8,2
134,355,2014-01-10 15:49:21,1675.68,14648.18,12.68,585.0,8.74,2014-01-10 15:49:21+00:00,2014-01-10 07:49:21-08:00,7,9.101979693538967,27.928,0.4654666666666667,19.554525265408834,28.36442268259038,morning_suburb,1,10,4
135,414,2014-01-13 15:50:13,1729.12,14665.33,13.37,557.0,8.48,2014-01-13 15:50:13+00:00,2014-01-13 07:50:13-08:00,7,9.112636235972511,28.818666666666665,0.4803111111111111,18.972361923695892,29.9079125604285,morning_suburb,1,13,0
136,447,2014-01-14 15:47:22,1649.29,14640.62,12.53,589.0,8.88,2014-01-14 15:47:22+00:00,2014-01-14 07:47:22-08:00,7,9.097282115649895,27.488166666666665,0.4581361111111111,19.857160121227693,28.028881404799485,morning_suburb,1,14,1
137,224,2014-01-15 15:57:56,1220.92,10727.52,11.61,427.0,8.79,2014-01-15 15:57:56+00:00,2014-01-15 07:57:56-08:00,7,6.665788459865536,20.348666666666666,0.3391444444444444,19.654718126917352,25.970894901015324,morning_suburb,1,15,2
138,383,2014-01-27 15:49:19,1698.32,14642.56,12.91,586.0,8.62,2014-01-27 15:49:19+00:00,2014-01-27 07:49:19-08:00,7,9.098487578758995,28.305333333333333,0.47175555555555554,19.28644500655494,28.87891930853642,morning_suburb,1,27,0
