StartTime,TotalTimeSeconds,DistanceMeters,MaximumSpeed,Calories,AverageSpeed
2014-03-31,1200.96,9471.09,11.9,397.05,7.45
2014-06-30,1199.34,9516.59,12.12,404.92,7.6
2014-09-30,1349.22,10349.17,25.79,436.18,7.53
2014-12-31,1218.13,9828.92,12.09,416.0,7.92
