,StartTime,TotalTimeSeconds,DistanceMeters,MaximumSpeed,Calories,AverageSpeed
497,2014-02-19T00:18:08Z,1723.17,14111.4,11.17,508.0,8.19
498,2014-02-19T01:39:32Z,955.23,4816.77,9.48,245.0,5.04
169,2014-02-19T14:38:59Z,606.29,4717.64,12.17,143.0,7.78
170,2014-02-19T15:46:25Z,1685.12,14621.69,11.68,605.0,8.68
519,2014-02-20T00:19:18Z,1702.22,13952.26,11.06,540.0,8.2
520,2014-02-20T01:40:00Z,854.04,4806.64,35.33,198.0,5.63
98,2014-02-20T14:39:33Z,608.81,4712.12,12.15,153.0,7.74
99,2014-02-20T15:45:49Z,1639.98,14617.39,13.23,608.0,8.91
388,2014-02-21T00:17:33Z,1667.11,14145.37,16.24,583.0,8.48
389,2014-02-21T01:39:01Z,838.08,4812.74,9.72,225.0,5.74
456,2014-02-21T14:38:38Z,645.41,4718.13,12.26,157.0,7.31
457,2014-02-21T15:46:05Z,1693.58,14651.66,13.42,595.0,8.65
270,2014-02-21T23:18:42Z,1788.47,14136.35,10.98,483.0,7.9
271,2014-02-22T00:59:50Z,901.49,4858.92,11.5,291.0,5.39
65,2014-02-24T14:39:01Z,651.58,5261.17,21.83,468.0,8.07
66,2014-02-24T15:46:04Z,1688.6,14647.68,12.52,562.0,8.67
266,2014-02-25T00:18:41Z,1730.76,14108.07,10.88,553.0,8.15
267,2014-02-25T01:41:20Z,794.92,4829.52,9.34,215.0,6.08
249,2014-02-25T14:36:45Z,637.16,4788.5,12.52,176.0,7.52
250,2014-02-25T15:47:28Z,1775.98,14643.24,11.94,557.0,8.25
118,2014-02-26T00:16:40Z,1710.84,14061.51,13.32,528.0,8.22
119,2014-02-26T01:41:09Z,879.15,4799.01,9.63,235.0,5.46
187,2014-03-03T14:37:30Z,596.29,5023.86,13.16,203.0,8.43
188,2014-03-03T15:50:30Z,1758.57,14650.87,12.04,558.0,8.33
380,2014-03-04T00:17:14Z,1624.86,14102.29,12.24,590.0,8.68
381,2014-03-04T01:40:17Z,854.31,4840.84,9.46,243.0,5.67
431,2014-03-04T14:35:57Z,619.83,4792.74,18.8,175.0,7.73
432,2014-03-04T15:47:28Z,1726.83,14612.46,12.49,581.0,8.46
171,2014-03-05T00:21:36Z,1718.19,14109.31,11.04,517.0,8.21
172,2014-03-05T01:39:05Z,854.46,4826.08,9.32,227.0,5.65
81,2014-03-05T14:34:06Z,402.23,3139.65,13.38,205.0,7.81
82,2014-03-05T14:42:06Z,12.2,124.18,9.37,1.0,10.18
83,2014-03-05T15:45:37Z,1641.9,14652.11,12.88,611.0,8.92
350,2014-03-06T00:20:57Z,1631.61,14146.56,13.44,595.0,8.67
351,2014-03-06T01:39:14Z,833.93,4785.75,9.77,221.0,5.74
503,2014-03-07T14:39:00Z,598.84,4730.12,11.77,206.0,7.9
504,2014-03-07T15:44:02Z,1621.74,14642.28,13.03,591.0,9.03
14,2014-03-08T00:20:40Z,1625.92,14122.84,11.79,590.0,8.69
15,2014-03-08T01:40:24Z,845.77,4822.32,9.77,233.0,5.7
48,2014-03-10T13:39:43Z,615.37,4762.73,11.88,161.0,7.74
49,2014-03-10T14:47:21Z,1693.74,14625.21,11.98,590.0,8.63
146,2014-03-10T23:25:41Z,1682.12,14159.77,11.68,576.0,8.42
147,2014-03-11T00:41:17Z,910.97,4819.57,8.92,253.0,5.29
393,2014-03-11T13:39:01Z,680.27,4694.27,12.07,162.0,6.9
394,2014-03-11T14:47:10Z,1753.85,14648.26,11.82,560.0,8.35
57,2014-03-11T23:23:21Z,1617.14,14112.6,11.93,598.0,8.73
58,2014-03-12T00:46:58Z,910.68,4825.7,8.44,232.0,5.3
100,2014-03-12T13:42:11Z,656.29,4591.46,10.84,164.0,7.0
101,2014-03-12T14:46:32Z,1701.04,14650.85,12.41,576.0,8.61
485,2014-03-12T23:18:01Z,1756.81,14131.95,11.45,531.0,8.04
486,2014-03-13T00:41:39Z,908.59,4705.44,8.6,217.0,5.18
356,2014-03-14T13:39:49Z,610.95,4752.63,13.39,215.0,7.78
357,2014-03-14T14:47:37Z,1632.15,14628.39,14.61,607.0,8.96
130,2014-03-14T23:21:10Z,1702.76,14087.85,11.53,562.0,8.27
131,2014-03-15T00:39:28Z,27.58,120.6,6.88,63.0,4.37
41,2014-03-17T13:38:41Z,621.67,4775.41,12.86,269.0,7.68
42,2014-03-17T14:47:57Z,1709.37,14650.23,13.87,591.0,8.57
421,2014-03-17T23:20:37Z,1711.48,14086.9,11.81,535.0,8.23
422,2014-03-18T00:39:47Z,891.69,4828.34,8.9,225.0,5.41
