,StartTime,TotalTimeSeconds,DistanceMeters,MaximumSpeed,Calories,AverageSpeed
29,2014-07-07T23:22:20Z,1672.38,14086.46,11.51,569.0,8.42
30,2014-07-08T00:39:07Z,813.2,4825.02,10.68,206.0,5.93
128,2014-07-08T13:39:07Z,658.23,4686.36,12.38,277.0,7.12
129,2014-07-08T14:47:32Z,1593.33,14626.99,12.7,634.0,9.18
37,2014-07-08T23:21:36Z,1664.46,14108.4,13.26,556.0,8.48
38,2014-07-09T00:49:48Z,338.58,1783.65,8.76,96.0,5.27
245,2014-07-09T13:40:12Z,608.23,4740.2,12.95,264.0,7.79
246,2014-07-09T14:48:10Z,1687.15,14602.7,12.1,581.0,8.66
268,2014-07-09T23:26:28Z,1581.35,14102.32,12.97,599.0,8.92
269,2014-07-10T00:43:47Z,897.61,4766.68,9.41,190.0,5.31
22,2014-07-21T13:37:29Z,595.15,4637.47,12.19,189.0,7.79
23,2014-07-21T14:50:23Z,1566.75,14643.86,14.03,616.0,9.35
507,2014-07-21T23:19:36Z,1618.33,14063.65,14.97,577.0,8.69
508,2014-07-22T00:44:50Z,883.14,4803.98,10.4,233.0,5.44
479,2014-07-22T13:38:52Z,670.75,4714.48,12.88,163.0,7.03
480,2014-07-22T14:48:29Z,1627.43,14648.35,11.84,607.0,9.0
303,2014-07-22T23:20:04Z,1778.71,14100.6,12.09,565.0,7.93
304,2014-07-23T00:40:17Z,827.99,4810.64,10.2,245.0,5.81
368,2014-07-24T13:38:21Z,626.02,4764.77,11.33,170.0,7.61
369,2014-07-24T14:48:11Z,1585.85,14628.78,13.44,576.0,9.22
305,2014-07-25T00:02:31Z,1656.9,14131.28,12.64,571.0,8.53
306,2014-07-25T01:20:58Z,914.83,4773.49,9.33,222.0,5.22
155,2014-07-25T13:38:21Z,650.88,4764.78,12.34,152.0,7.32
156,2014-07-25T14:46:39Z,1589.14,14648.84,13.5,590.0,9.22
122,2014-07-25T23:17:31Z,1869.96,14382.08,11.99,575.0,7.69
123,2014-07-26T00:53:35Z,890.61,4608.13,8.33,209.0,5.17
401,2014-07-28T13:37:23Z,592.08,4687.16,14.01,156.0,7.92
402,2014-07-28T14:47:15Z,1592.83,14646.39,13.06,611.0,9.2
255,2014-07-28T23:18:10Z,1648.05,14120.0,11.82,543.0,8.57
256,2014-07-29T00:42:24Z,817.23,4623.8,9.67,204.0,5.66
515,2014-07-29T13:39:01Z,627.06,4691.8,11.65,146.0,7.48
516,2014-07-29T14:46:52Z,1610.76,14649.55,13.72,595.0,9.09
288,2014-07-29T22:55:52Z,1655.27,14036.27,11.23,570.0,8.48
289,2014-07-30T00:22:16Z,845.71,4809.03,10.09,224.0,5.69
106,2014-07-30T13:35:57Z,612.17,4837.58,12.33,116.0,7.9
107,2014-07-30T14:48:47Z,1631.26,14643.37,13.18,606.0,8.98
487,2014-07-30T23:21:11Z,1709.14,14113.5,11.26,524.0,8.26
488,2014-07-31T00:39:20Z,923.96,4836.68,9.94,261.0,5.23
52,2014-09-07T16:49:27Z,6385.24,39702.46,731.33,1716.0,6.22
199,2014-09-08T13:35:51Z,599.13,4680.9,12.33,164.0,7.81
200,2014-09-08T14:47:51Z,1638.59,14651.11,12.45,615.0,8.94
191,2014-09-08T23:21:14Z,1716.08,14240.07,19.38,521.0,8.3
192,2014-09-09T00:40:23Z,856.27,4728.23,9.48,217.0,5.52
39,2014-09-09T13:39:03Z,596.86,4601.77,13.97,162.0,7.71
40,2014-09-09T14:49:34Z,1636.14,14640.25,14.35,606.0,8.95
300,2014-09-09T22:52:15Z,1607.56,14100.29,14.17,591.0,8.77
301,2014-09-10T00:20:37Z,31.33,130.15,6.3,11.0,4.15
302,2014-09-10T00:21:11Z,819.74,4636.21,10.34,263.0,5.66
235,2014-09-10T13:36:06Z,494.01,3539.88,12.77,128.0,7.17
236,2014-09-10T14:50:52Z,1614.03,14649.17,12.95,599.0,9.08
509,2014-09-10T23:19:01Z,1735.58,14134.87,12.2,560.0,8.14
510,2014-09-11T00:42:00Z,849.41,4805.23,10.25,219.0,5.66
290,2014-09-12T13:37:37Z,618.57,4657.07,12.37,172.0,7.53
291,2014-09-12T14:49:42Z,1685.97,14643.31,13.8,587.0,8.69
324,2014-09-12T23:20:08Z,1664.84,14104.64,11.96,559.0,8.47
325,2014-09-13T00:43:04Z,862.65,4837.56,10.02,239.0,5.61
441,2014-09-13T18:42:44Z,6611.03,40011.9,680.4,1569.0,6.05
370,2014-09-15T13:37:24Z,666.25,4828.87,13.81,238.0,7.25
371,2014-09-15T14:47:48Z,1623.16,14656.41,13.88,605.0,9.03
505,2014-09-15T23:20:32Z,1676.58,14099.76,13.42,530.0,8.41
506,2014-09-16T00:42:42Z,857.22,4807.11,9.11,225.0,5.61
336,2014-09-16T13:36:17Z,639.28,4747.68,12.77,222.0,7.43
337,2014-09-16T14:47:00Z,1563.98,14623.18,14.53,622.0,9.35
4,2014-09-16T23:23:18Z,1629.11,14082.75,12.8,573.0,8.64
5,2014-09-17T00:41:32Z,936.3,4655.83,14.19,231.0,4.97
286,2014-09-17T13:38:55Z,654.04,4805.08,14.76,295.0,7.35
287,2014-09-17T14:48:45Z,1703.59,14664.76,13.15,561.0,8.61
211,2014-09-17T23:20:47Z,1667.45,14153.49,14.43,574.0,8.49
212,2014-09-18T00:41:50Z,890.2,4831.93,9.84,213.0,5.43
84,2014-09-22T13:40:41Z,614.83,4745.21,12.45,204.0,7.72
85,2014-09-22T14:48:25Z,1629.05,14607.24,14.74,642.0,8.97
358,2014-09-22T23:19:14Z,1747.76,14105.54,12.92,559.0,8.07
359,2014-09-23T00:46:27Z,609.8,2977.01,8.61,126.0,4.88
203,2014-09-23T13:35:33Z,617.45,4750.92,12.74,265.0,7.69
204,2014-09-23T14:47:22Z,1565.4,14650.17,13.34,633.0,9.36
429,2014-09-23T23:22:14Z,1644.63,14136.03,11.96,581.0,8.6
430,2014-09-24T00:41:49Z,871.06,4805.8,9.58,195.0,5.52
153,2014-09-24T13:35:52Z,635.81,4787.48,11.77,564.0,7.53
154,2014-09-24T14:49:09Z,1557.38,14620.17,13.94,626.0,9.39
415,2014-09-24T23:18:56Z,1725.97,14131.81,11.72,537.0,8.19
416,2014-09-25T00:40:15Z,896.31,4628.07,14.29,218.0,5.16
475,2014-09-26T14:01:30Z,573.77,4711.21,14.07,395.0,8.21
476,2014-09-26T16:27:07Z,6355.02,29770.26,14.81,2014.0,4.68
477,2014-09-26T19:32:41Z,3511.34,29553.76,13.28,392.0,8.42
478,2014-09-26T23:23:01Z,822.28,4520.15,9.03,219.0,5.5
201,2014-09-29T13:37:20Z,602.3,4748.03,12.89,301.0,7.88
202,2014-09-29T14:50:41Z,1511.72,14640.58,14.06,612.0,9.68
318,2014-09-29T23:22:12Z,1694.24,14134.12,11.27,529.0,8.34
319,2014-09-30T01:22:27Z,846.96,4790.84,10.58,216.0,5.66
195,2014-09-30T13:36:03Z,600.04,4692.51,12.45,331.0,7.82
196,2014-09-30T14:47:45Z,1563.28,14624.93,13.53,593.0,9.36
108,2014-09-30T23:23:47Z,1646.03,14089.63,11.52,551.0,8.56
109,2014-10-01T00:44:16Z,1517.96,7072.96,11.0,372.0,4.66
173,2014-10-01T13:34:22Z,608.37,4771.77,12.1,236.0,7.84
174,2014-10-01T14:48:38Z,1578.07,14638.97,12.43,633.0,9.28
439,2014-10-01T23:20:53Z,1688.91,14122.1,11.32,569.0,8.36
440,2014-10-02T00:59:35Z,902.88,4733.61,9.86,191.0,5.24
179,2014-10-03T13:37:18Z,615.15,4768.25,12.26,314.0,7.75
180,2014-10-03T14:47:47Z,1614.46,14628.72,12.14,591.0,9.06
24,2014-10-03T23:23:36Z,1644.56,14131.13,11.89,612.0,8.59
25,2014-10-04T00:39:32Z,885.18,4834.81,9.49,214.0,5.46
165,2014-10-06T13:40:30Z,605.11,4728.68,11.78,315.0,7.81
166,2014-10-06T14:50:06Z,1607.11,14645.83,13.16,613.0,9.11
53,2014-10-06T23:22:52Z,1629.85,14081.21,11.72,580.0,8.64
54,2014-10-07T00:43:48Z,887.79,4788.41,9.51,221.0,5.39
31,2014-10-07T13:37:30Z,618.14,4737.62,12.64,157.0,7.66
32,2014-10-07T14:47:55Z,1605.88,14646.0,12.76,613.0,9.12
328,2014-10-07T23:24:38Z,1619.98,14078.48,11.75,590.0,8.69
329,2014-10-08T00:45:00Z,1061.15,4810.24,11.94,238.0,4.53
55,2014-10-08T13:38:54Z,566.81,4453.48,12.78,155.0,7.86
56,2014-10-08T14:48:35Z,1469.31,14638.46,13.89,631.0,9.96
16,2014-10-08T23:21:19Z,1658.28,14122.75,11.2,558.0,8.52
17,2014-10-09T00:42:03Z,956.76,4797.19,9.65,220.0,5.01
284,2014-10-09T13:38:35Z,610.53,4771.72,12.58,165.0,7.82
285,2014-10-09T14:48:12Z,1585.32,14615.71,12.43,601.0,9.22
454,2014-10-10T00:20:39Z,1654.24,14137.31,12.21,564.0,8.55
455,2014-10-10T01:48:19Z,885.76,4764.94,9.67,210.0,5.38
148,2014-10-13T13:42:04Z,2267.22,19319.77,12.58,787.0,8.52
144,2014-10-13T23:17:51Z,1693.47,14053.26,11.05,568.0,8.3
145,2014-10-14T00:42:52Z,844.75,4804.95,9.27,204.0,5.69
229,2014-10-14T13:41:31Z,623.93,4666.62,12.68,193.0,7.48
230,2014-10-14T14:48:37Z,1629.18,14284.56,12.31,564.0,8.77
264,2014-10-14T23:22:13Z,1778.39,14106.8,11.42,553.0,7.93
265,2014-10-15T00:43:47Z,879.03,4807.08,9.85,208.0,5.47
2,2014-10-16T13:37:12Z,629.12,4780.81,12.49,261.0,7.6
3,2014-10-16T14:48:11Z,1594.29,14645.15,14.13,595.0,9.19
247,2014-10-16T23:21:12Z,1618.31,13919.6,11.33,580.0,8.6
248,2014-10-17T00:42:32Z,848.34,4780.54,9.48,200.0,5.64
473,2014-10-17T13:34:22Z,623.56,4717.03,12.91,50.0,7.56
474,2014-10-17T14:48:23Z,1660.46,14645.24,11.75,588.0,8.82
43,2014-10-17T23:22:50Z,1576.1,14070.22,12.31,586.0,8.93
44,2014-10-18T00:06:33Z,445.23,13054.87,36.47,274.0,29.32
45,2014-10-18T00:42:03Z,822.72,4807.86,9.76,207.0,5.84
209,2014-10-20T13:37:17Z,642.98,4723.87,11.41,153.0,7.35
210,2014-10-20T14:50:20Z,1638.04,14642.08,13.43,573.0,8.94
6,2014-10-20T23:19:25Z,1566.98,14083.56,12.92,595.0,8.99
7,2014-10-21T01:25:04Z,853.12,4806.24,10.8,226.0,5.63
10,2014-10-21T13:34:29Z,629.14,4724.43,12.84,138.0,7.51
11,2014-10-21T14:48:08Z,1543.92,14640.72,13.16,624.0,9.48
501,2014-10-21T23:19:59Z,1700.1,14114.83,11.52,588.0,8.3
502,2014-10-22T00:47:10Z,828.73,4408.2,9.08,177.0,5.32
262,2014-10-22T13:36:01Z,607.88,4670.59,12.67,187.0,7.68
263,2014-10-22T14:49:25Z,1571.28,14641.4,13.36,602.0,9.32
225,2014-10-22T23:19:09Z,1690.21,14155.28,12.1,587.0,8.37
226,2014-10-23T00:41:27Z,901.2,4795.29,9.52,209.0,5.32
320,2014-10-24T13:31:25Z,622.77,4755.04,13.36,218.0,7.64
321,2014-10-24T14:48:01Z,1600.77,14614.51,12.39,603.0,9.13
219,2014-10-24T23:20:45Z,1630.83,14123.42,12.43,592.0,8.66
220,2014-10-25T00:41:54Z,869.29,4815.86,10.14,218.0,5.54
417,2014-11-11T14:36:32Z,613.54,4754.27,14.05,392.0,7.75
418,2014-11-11T15:47:15Z,1608.87,14637.14,13.01,620.0,9.1
50,2014-11-12T00:15:46Z,1614.0,14131.26,11.95,597.0,8.76
51,2014-11-12T01:42:18Z,852.5,4671.56,10.01,186.0,5.48
217,2014-11-12T14:34:29Z,632.73,4688.18,11.49,225.0,7.41
218,2014-11-12T15:50:05Z,1600.42,14616.04,12.9,618.0,9.13
104,2014-11-13T00:20:26Z,1667.92,14113.9,11.26,584.0,8.46
105,2014-11-13T01:41:25Z,901.44,4785.05,9.15,205.0,5.31
167,2014-11-14T14:36:24Z,626.02,4775.12,12.65,578.0,7.63
168,2014-11-14T15:47:28Z,1595.88,14637.45,16.0,626.0,9.17
344,2014-11-15T00:21:26Z,1578.3,14115.98,11.8,618.0,8.94
345,2014-11-15T01:53:05Z,864.0,4793.36,9.24,232.0,5.55
458,2014-12-01T14:37:31Z,2437.05,19348.81,12.25,797.0,7.94
292,2014-12-02T00:20:11Z,1683.66,14113.14,12.52,606.0,8.38
293,2014-12-02T01:43:16Z,920.28,4800.99,9.11,197.0,5.22
