,TotalTimeSeconds,DistanceMeters,MaximumSpeed,Calories,AverageSpeed
2014-05-07,1271.8075,9583.715,11.557500000000001,377.75,7.407500000000001
2014-05-08,765.4,4404.76,9.7,304.0,5.75
2014-05-09,1083.7266666666667,7896.78,13.573333333333332,344.3333333333333,7.169999999999999
2014-05-12,1305.24,11108.893333333333,12.213333333333333,471.0,8.403333333333334
2014-05-13,1207.5974999999999,9578.7775,12.277500000000002,388.5,7.65
2014-05-14,1176.2150000000001,9565.955,11.875,437.25,7.859999999999999
2014-05-15,907.23,4783.18,9.07,216.0,5.27
2014-05-16,1247.285,9577.755000000001,12.5075,397.75,7.295000000000001
2014-05-19,1383.3733333333332,11172.096666666666,13.373333333333335,421.0,7.973333333333334
2014-05-20,1209.8725,9570.1925,11.8075,416.0,7.67
2014-05-21,1203.76,9579.045,11.7625,424.0,7.6575
2014-05-22,903.24,4822.2,9.81,357.0,5.34
2014-05-23,1193.9375,9566.0125,12.26,391.5,7.7075000000000005
2014-05-26,,,,,
2014-05-27,1316.1233333333334,11172.306666666665,12.593333333333334,452.0,8.34
2014-05-28,1167.4575,9576.41,13.0925,426.5,7.8775
2014-05-29,903.03,4827.81,9.48,302.0,5.35
2014-05-30,988.0299999999999,8375.664999999999,9.795,341.5,6.297499999999999
2014-06-02,1281.1133333333335,11044.163333333332,13.57,502.6666666666667,8.49
2014-06-03,1191.9425,9429.939999999999,11.875,386.75,7.57
2014-06-04,1184.2825,9587.5475,12.102500000000001,378.25,7.8325
2014-06-05,857.09,4804.87,9.64,245.0,5.61
2014-06-06,1211.43,9572.9525,11.83,391.75,7.5875
2014-06-09,1319.1766666666667,11111.716666666667,12.416666666666666,457.3333333333333,8.146666666666667
2014-06-10,1210.355,9582.7725,11.245,436.0,7.595
2014-06-11,1177.8525,9002.7175,11.555000000000001,365.25,7.370000000000001
2014-06-12,849.09,4817.31,9.47,400.0,5.67
2014-06-13,1202.0349999999999,9557.402500000002,12.717500000000001,432.25,7.6675
2014-06-16,1318.4099999999999,11143.736666666666,13.193333333333333,440.3333333333333,8.38
2014-06-17,1200.4450000000002,9537.1725,12.2725,412.75,7.645
2014-06-18,1193.5325,9592.09,11.7325,401.0,7.682499999999999
2014-06-19,809.82,4828.78,9.83,245.0,5.96
2014-06-20,1162.0525,9603.7925,13.43,411.75,7.88
2014-06-23,1301.08,11157.386666666667,12.806666666666667,457.0,8.453333333333335
2014-06-24,1189.67,9588.7,12.6425,402.25,7.7425
2014-06-25,822.92,4819.53,10.08,243.0,5.86
2014-06-26,1301.78,11181.163333333332,12.626666666666667,507.0,8.389999999999999
2014-06-27,898.42,4824.25,9.69,208.0,5.37
2014-06-30,1312.2366666666667,11139.796666666667,12.366666666666667,447.3333333333333,8.256666666666666
2014-07-01,1200.0425,9547.8,11.895,390.5,7.665000000000001
2014-07-02,1410.2666666666667,11192.61,11.783333333333331,457.3333333333333,7.553333333333335
2014-07-03,825.15,4782.76,9.3,199.0,5.8
2014-07-04,,,,,
2014-07-07,1310.5366666666666,11109.106666666667,12.213333333333333,482.6666666666667,8.323333333333332
2014-07-08,1182.305,9561.692500000001,12.255,418.25,7.6775
2014-07-09,1053.8274999999999,8807.2175,11.695,385.0,7.66
2014-07-10,897.61,4766.68,9.41,190.0,5.31
2014-07-11,,,,,
2014-07-14,,,,,
2014-07-15,,,,,
2014-07-16,,,,,
2014-07-17,,,,,
2014-07-18,,,,,
2014-07-21,1260.0766666666666,11114.993333333334,13.729999999999999,460.6666666666667,8.61
2014-07-22,1240.0075,9566.852499999999,11.802500000000002,392.0,7.35
2014-07-23,827.99,4810.64,10.2,245.0,5.81
2014-07-24,1105.935,9696.775000000001,12.385,373.0,8.415000000000001
2014-07-25,1262.0533333333333,9551.433333333332,11.355000000000002,386.5,7.191666666666666
2014-07-28,1277.6533333333334,11151.183333333334,12.963333333333333,436.6666666666667,8.563333333333333
2014-07-29,1177.58,9500.355,11.567499999999999,378.75,7.6775
2014-07-30,1199.5700000000002,9600.87,11.715,367.5,7.7075
2014-07-31,923.96,4836.68,9.94,261.0,5.23
2014-08-01,,,,,
2014-08-04,,,,,
2014-08-05,,,,,
2014-08-06,,,,,
2014-08-07,,,,,
2014-08-08,,,,,
2014-08-11,,,,,
2014-08-12,,,,,
2014-08-13,,,,,
2014-08-14,,,,,
2014-08-15,,,,,
2014-08-18,,,,,
2014-08-19,,,,,
2014-08-20,,,,,
2014-08-21,,,,,
2014-08-22,,,,,
2014-08-25,,,,,
2014-08-26,,,,,
2014-08-27,,,,,
2014-08-28,,,,,
2014-08-29,,,,,
2014-09-01,,,,,
2014-09-02,,,,,
2014-09-03,,,,,
2014-09-04,,,,,
2014-09-05,6385.24,39702.46,731.33,1716.0,6.22
2014-09-08,1317.9333333333332,11190.693333333335,14.719999999999999,433.3333333333333,8.35
2014-09-09,1174.2075,9517.635,12.992500000000001,394.0,7.7375
2014-09-10,938.9379999999999,7418.056,10.912,312.2,6.840000000000001
2014-09-11,849.41,4805.23,10.25,219.0,5.66
2014-09-12,2288.612,15650.895999999999,145.70999999999998,625.2,7.269999999999999
2014-09-15,1321.9966666666667,11195.013333333334,13.703333333333333,457.6666666666667,8.23
2014-09-16,1172.3975,9565.18,12.302499999999998,410.5,7.7575
2014-09-17,1240.345,9569.789999999999,14.1325,415.25,7.355
2014-09-18,890.2,4831.93,9.84,213.0,5.43
2014-09-19,,,,,
2014-09-22,1330.5466666666669,11152.663333333336,13.37,468.3333333333333,8.253333333333334
2014-09-23,1109.3200000000002,9128.5325,11.6625,401.25,7.6325
2014-09-24,1197.555,9586.314999999999,11.7525,480.5,7.657500000000001
2014-09-25,896.31,4628.07,14.29,218.0,5.16
2014-09-26,2815.6025000000004,17138.844999999998,12.797500000000001,755.0,6.702500000000001
2014-09-29,1269.42,11174.243333333334,12.74,480.6666666666667,8.633333333333333
2014-09-30,1164.0774999999999,9549.477499999999,12.02,422.75,7.85
2014-10-01,1348.3274999999999,10151.449999999999,11.7125,452.5,7.535
2014-10-02,902.88,4733.61,9.86,191.0,5.24
2014-10-03,1189.8375,9590.727499999999,11.445,432.75,7.715000000000001
2014-10-06,1280.6899999999998,11151.906666666668,12.219999999999999,502.6666666666667,8.52
2014-10-07,1182.9475,9562.627499999999,11.665,395.25,7.715
2014-10-08,1188.8875,9506.2325,12.4525,395.5,7.7175
2014-10-09,1050.87,8061.54,11.553333333333333,328.6666666666667,7.3500000000000005
2014-10-10,1270.0,9451.125,10.940000000000001,387.0,6.965
2014-10-13,1980.3449999999998,16686.515,11.815000000000001,677.5,8.41
2014-10-14,1219.0625,9465.732499999998,11.42,378.5,7.4675
2014-10-15,879.03,4807.08,9.85,208.0,5.47
2014-10-16,1280.5733333333333,11115.186666666666,12.65,478.6666666666667,8.463333333333333
2014-10-17,996.0683333333335,9345.960000000001,15.446666666666667,317.5,11.018333333333333
2014-10-20,1282.6666666666667,11149.836666666668,12.586666666666666,440.3333333333333,8.426666666666668
2014-10-21,1181.5700000000002,9571.555,12.079999999999998,394.0,7.73
2014-10-22,1174.525,9468.8675,11.8025,388.25,7.672499999999999
2014-10-23,901.2,4795.29,9.52,209.0,5.32
2014-10-24,1180.915,9577.2075,12.08,407.75,7.7425
2014-10-27,,,,,
2014-10-28,,,,,
2014-10-29,,,,,
2014-10-30,,,,,
2014-10-31,,,,,
2014-11-03,,,,,
2014-11-04,,,,,
2014-11-05,,,,,
2014-11-06,,,,,
2014-11-07,,,,,
2014-11-10,,,,,
2014-11-11,1111.205,9695.705,13.530000000000001,506.0,8.425
2014-11-12,1174.9125,9526.76,11.5875,406.5,7.695
2014-11-13,1284.68,9449.475,10.205,394.5,6.885
2014-11-14,1166.05,9580.4775,12.422500000000001,513.5,7.822500000000001
2014-11-17,,,,,
2014-11-18,,,,,
2014-11-19,,,,,
2014-11-20,,,,,
2014-11-21,,,,,
2014-11-24,,,,,
2014-11-25,,,,,
2014-11-26,,,,,
2014-11-27,,,,,
2014-11-28,,,,,
2014-12-01,2437.05,19348.81,12.25,797.0,7.94
2014-12-02,1301.97,9457.064999999999,10.815,401.5,6.800000000000001
