,StartTime,TotalTimeSeconds,DistanceMeters,MaximumSpeed,Calories,AverageSpeed
334,2013-04-25T14:47:51Z,1598.65,14604.25,13.92,613.0,9.14
381,2013-04-25T23:14:33Z,2015.14,15218.58,10.62,654.0,7.55
122,2013-04-29T14:54:56Z,1520.69,14640.56,14.28,596.0,9.63
403,2013-04-29T23:14:39Z,2047.89,15275.01,13.37,645.0,7.46
282,2013-04-30T23:20:33Z,1921.84,15264.4,12.14,709.0,7.94
120,2013-05-01T13:43:58Z,433.59,3190.36,10.91,171.0,7.36
121,2013-05-01T13:51:33Z,1592.6,14634.2,13.48,596.0,9.19
58,2013-05-01T23:15:55Z,1995.77,15096.52,11.38,638.0,7.56
114,2013-05-03T13:45:09Z,421.52,3138.91,11.48,168.0,7.45
115,2013-05-03T14:47:04Z,1560.11,14628.74,13.59,596.0,9.38
4,2013-05-03T22:59:16Z,2209.53,17216.25,10.99,678.0,7.79
211,2013-05-06T13:49:12Z,2113.34,17785.68,13.66,720.0,8.42
266,2013-05-06T22:16:36Z,1698.26,14133.58,11.99,519.0,8.32
267,2013-05-07T00:01:52Z,531.08,3085.59,9.74,140.0,5.81
178,2013-05-08T14:43:34Z,3289.01,27575.65,14.25,1144.0,8.38
187,2013-05-08T23:02:04Z,1629.1,14122.55,12.95,537.0,8.67
76,2013-05-10T14:49:09Z,1586.45,14647.94,13.32,590.0,9.23
320,2013-05-10T23:17:11Z,2350.46,17187.22,11.88,712.0,7.31
59,2013-05-13T14:46:42Z,1530.82,14592.92,13.93,591.0,9.53
143,2013-05-13T23:17:04Z,2133.71,16464.61,13.53,658.0,7.72
362,2013-05-14T13:48:47Z,460.61,3179.79,10.39,117.0,6.9
363,2013-05-14T14:49:02Z,1543.06,14648.7,13.37,598.0,9.49
294,2013-05-14T22:19:57Z,1679.17,14123.3,12.36,553.0,8.41
295,2013-05-15T00:42:48Z,291.83,1155.06,10.6,112.0,3.96
27,2013-05-15T13:48:45Z,460.87,3174.39,9.32,170.0,6.89
28,2013-05-15T15:13:33Z,1614.88,14640.58,13.17,614.0,9.07
146,2013-05-15T23:15:32Z,1952.42,15310.35,12.32,710.0,7.84
30,2013-05-16T13:49:47Z,407.55,3151.29,10.4,146.0,7.73
31,2013-05-16T14:46:32Z,1648.74,14622.08,13.12,596.0,8.87
404,2013-05-16T23:18:18Z,2209.52,16457.06,12.9,678.0,7.45
371,2013-05-20T13:48:32Z,443.89,3129.25,10.23,136.0,7.05
372,2013-05-20T14:49:26Z,1556.98,14662.82,12.65,608.0,9.42
105,2013-05-20T22:22:18Z,2141.24,16202.24,11.75,651.0,7.57
348,2013-05-21T13:53:14Z,397.99,3108.08,11.44,193.0,7.81
349,2013-05-21T14:49:07Z,1664.12,14620.16,11.25,596.0,8.79
377,2013-05-21T22:19:16Z,1766.01,14086.95,11.65,503.0,7.98
378,2013-05-21T23:59:01Z,535.65,3114.07,9.69,163.0,5.81
398,2013-05-22T14:00:39Z,394.96,3123.35,12.18,224.0,7.91
399,2013-05-22T14:52:43Z,2784.73,24553.51,13.57,969.0,8.82
133,2013-05-22T23:16:30Z,1975.61,15235.86,12.47,622.0,7.71
277,2013-05-24T13:53:35Z,438.47,3161.84,10.21,183.0,7.21
278,2013-05-24T14:48:22Z,1677.35,14652.92,12.39,589.0,8.74
261,2013-05-24T22:19:36Z,2215.03,16495.23,13.38,647.0,7.45
300,2013-05-28T13:51:31Z,467.53,3014.03,10.11,166.0,6.45
301,2013-05-28T14:47:16Z,1604.41,14641.82,14.64,601.0,9.13
339,2013-05-28T23:16:23Z,1665.82,14105.66,11.51,594.0,8.47
340,2013-05-29T00:40:39Z,489.04,3117.57,10.44,152.0,6.37
412,2013-05-29T13:51:34Z,396.18,3109.13,10.41,164.0,7.85
413,2013-05-29T14:36:31Z,3124.54,26419.4,13.28,1044.0,8.46
72,2013-05-29T22:58:23Z,1671.26,14104.04,11.98,586.0,8.44
73,2013-05-30T00:23:53Z,287.95,1114.86,9.15,91.0,3.87
93,2013-05-31T13:50:21Z,445.11,3143.51,17.3,142.0,7.06
94,2013-05-31T14:48:32Z,1556.5,14661.3,12.9,630.0,9.42
8,2013-05-31T23:14:19Z,1599.83,14115.61,13.07,579.0,8.82
9,2013-06-01T00:42:29Z,481.59,3091.03,9.68,132.0,6.42
239,2013-06-03T13:52:14Z,425.43,3140.01,10.65,118.0,7.38
240,2013-06-03T14:48:29Z,1651.77,14642.51,12.1,612.0,8.86
337,2013-06-03T23:19:00Z,1925.39,15264.06,12.58,692.0,7.93
228,2013-06-04T13:54:00Z,383.83,3069.49,11.04,179.0,8.0
229,2013-06-04T14:48:47Z,1574.17,14656.97,14.68,603.0,9.31
188,2013-06-04T23:14:47Z,2183.75,16449.38,11.62,678.0,7.53
168,2013-06-07T14:04:14Z,219.57,1835.97,11.89,96.0,8.36
169,2013-06-07T14:59:08Z,1597.57,14490.12,12.24,590.0,9.07
290,2013-06-07T22:17:51Z,1688.32,14083.43,12.39,558.0,8.34
291,2013-06-07T23:57:54Z,521.59,3140.98,9.07,149.0,6.02
200,2013-06-10T13:44:30Z,404.03,3157.76,13.03,146.0,7.82
201,2013-06-10T14:49:09Z,1509.13,14640.74,14.23,577.0,9.7
304,2013-06-10T23:17:57Z,1531.54,14109.65,13.35,583.0,9.21
305,2013-06-11T00:40:51Z,472.64,3107.14,10.31,189.0,6.57
22,2013-06-11T13:47:27Z,6.79,59.45,9.71,3.0,8.76
288,2013-06-11T13:47:38Z,363.5,2804.98,13.61,147.0,7.72
289,2013-06-11T14:46:03Z,1552.42,14647.77,13.38,604.0,9.44
0,2013-06-11T23:18:21Z,1669.75,14122.15,11.16,575.0,8.46
1,2013-06-12T00:42:37Z,283.55,1174.38,9.85,145.0,4.14
64,2013-06-17T13:38:01Z,630.4,4718.13,12.61,175.0,7.48
65,2013-06-17T14:46:35Z,1622.12,14613.26,13.35,582.0,9.01
209,2013-06-17T23:13:18Z,1945.3,15356.94,13.38,630.0,7.89
210,2013-06-18T13:40:25Z,15.09,91.52,9.59,4.0,6.07
179,2013-06-18T13:40:44Z,603.56,4636.81,11.72,170.0,7.68
180,2013-06-18T14:47:55Z,1645.76,14660.03,11.61,599.0,8.91
134,2013-06-18T22:19:33Z,1862.16,14102.65,10.57,480.0,7.57
135,2013-06-19T00:08:20Z,808.76,4744.08,11.55,317.0,5.87
309,2013-06-19T13:39:53Z,2142.73,19359.53,13.37,752.0,9.03
214,2013-06-19T22:19:54Z,1697.02,14104.71,13.61,545.0,8.31
215,2013-06-20T00:02:48Z,806.36,4753.99,9.63,323.0,5.9
306,2013-07-08T13:40:48Z,654.11,4772.26,12.7,216.0,7.3
307,2013-07-08T14:49:58Z,1688.06,14634.68,11.02,583.0,8.67
216,2013-07-08T23:17:22Z,1734.83,14194.99,10.64,525.0,8.18
217,2013-07-09T00:48:27Z,809.62,4480.05,9.69,179.0,5.53
280,2013-07-09T13:37:54Z,639.83,4837.07,11.56,200.0,7.56
281,2013-07-09T14:48:16Z,1602.34,14654.48,12.89,592.0,9.15
166,2013-07-09T23:17:56Z,1745.9,14092.11,11.37,499.0,8.07
167,2013-07-10T00:51:51Z,768.0,4468.96,8.94,194.0,5.82
189,2013-07-15T13:40:41Z,644.14,4687.27,12.35,228.0,7.28
190,2013-07-15T14:48:59Z,1707.05,14625.32,12.78,594.0,8.57
270,2013-07-15T23:17:08Z,1702.52,14114.13,13.43,559.0,8.29
271,2013-07-16T00:38:48Z,784.69,4508.08,12.34,189.0,5.75
198,2013-07-16T13:41:31Z,684.95,4748.87,13.81,205.0,6.93
199,2013-07-16T14:48:39Z,1625.45,14598.04,11.91,619.0,8.98
151,2013-07-16T23:16:48Z,1754.3,14122.17,11.66,522.0,8.05
152,2013-07-17T00:46:06Z,756.2,4517.86,9.42,198.0,5.97
315,2013-07-17T13:39:08Z,692.15,4712.33,12.43,171.0,6.81
316,2013-07-17T14:46:18Z,1594.59,14642.04,12.97,637.0,9.18
302,2013-07-17T23:15:55Z,1739.32,14142.04,12.77,583.0,8.13
303,2013-07-18T00:51:29Z,748.05,4493.7,8.84,201.0,6.01
44,2013-07-19T13:39:24Z,613.54,4777.0,12.2,237.0,7.79
45,2013-07-19T14:47:10Z,1603.29,14660.21,16.23,623.0,9.14
318,2013-07-19T23:20:43Z,1723.13,14119.31,15.43,532.0,8.19
319,2013-07-20T01:12:09Z,806.42,4813.28,10.05,226.0,5.97
389,2013-07-22T13:44:38Z,635.54,4691.28,12.23,288.0,7.38
390,2013-07-22T14:46:45Z,1713.36,14645.76,13.38,595.0,8.55
16,2013-07-22T23:14:00Z,1703.02,14104.75,12.51,500.0,8.28
17,2013-07-23T00:42:22Z,818.24,4517.02,9.03,198.0,5.52
335,2013-07-23T22:24:55Z,1715.8,14133.87,11.28,546.0,8.24
336,2013-07-24T00:03:43Z,772.93,4496.6,9.31,206.0,5.82
25,2013-07-25T13:38:55Z,639.21,4727.68,11.8,292.0,7.4
26,2013-07-25T14:46:46Z,1573.2,14654.57,14.02,597.0,9.32
253,2013-07-25T23:17:19Z,1702.51,14120.38,12.08,559.0,8.29
254,2013-07-26T00:46:44Z,730.29,4495.57,9.18,189.0,6.16
364,2013-07-26T13:42:12Z,625.54,4614.02,11.51,187.0,7.38
365,2013-07-26T14:51:34Z,1583.62,14649.39,15.48,596.0,9.25
110,2013-07-26T23:19:57Z,1672.27,14126.53,11.97,557.0,8.45
111,2013-07-27T00:51:11Z,736.86,4456.43,9.57,235.0,6.05
40,2013-07-29T13:40:23Z,648.3,4688.49,12.67,218.0,7.23
41,2013-07-29T14:46:45Z,1592.75,14646.67,13.49,609.0,9.2
79,2013-07-29T23:16:31Z,1727.35,14154.93,12.24,568.0,8.19
80,2013-07-30T00:46:39Z,779.45,4465.55,9.94,248.0,5.73
406,2013-07-30T13:37:41Z,574.61,4607.0,12.69,184.0,8.02
407,2013-07-30T14:49:53Z,1631.71,14666.77,14.66,607.0,8.99
14,2013-07-30T23:14:49Z,1696.58,14134.88,11.09,559.0,8.33
15,2013-07-31T00:43:05Z,820.91,4491.62,8.65,225.0,5.47
12,2013-07-31T13:42:05Z,545.76,4676.51,13.2,204.0,8.57
13,2013-07-31T14:48:51Z,1670.17,14726.91,13.44,597.0,8.82
99,2013-07-31T23:17:32Z,1754.22,14009.05,32.27,572.0,7.99
53,2013-08-10T21:37:19Z,6862.64,29403.26,7.14,808.0,4.28
331,2013-08-26T13:42:11Z,2378.51,19362.49,12.05,776.0,8.14
374,2013-08-26T23:16:11Z,2570.75,18590.55,12.46,746.0,7.23
176,2013-08-27T13:40:24Z,667.32,4764.01,11.93,328.0,7.14
177,2013-08-27T14:51:40Z,1676.17,14640.43,13.29,604.0,8.73
298,2013-08-27T23:19:57Z,1717.99,14072.97,11.97,505.0,8.19
299,2013-08-28T00:46:38Z,824.83,4515.58,9.3,210.0,5.47
123,2013-08-28T13:42:07Z,613.04,4719.12,11.79,305.0,7.7
124,2013-08-28T14:46:42Z,1728.55,14648.3,13.15,579.0,8.47
56,2013-08-28T23:18:02Z,1785.79,14117.26,11.33,502.0,7.91
57,2013-08-29T00:50:45Z,820.64,4464.25,8.79,224.0,5.44
182,2013-08-30T13:38:30Z,636.03,4675.17,11.43,215.0,7.35
183,2013-08-30T14:50:41Z,1646.67,14648.56,13.89,600.0,8.9
237,2013-08-30T23:18:56Z,1672.13,14136.08,11.18,587.0,8.45
238,2013-08-31T00:47:58Z,791.95,4499.1,8.88,202.0,5.68
91,2013-09-03T13:38:46Z,686.19,4776.98,12.26,149.0,6.96
92,2013-09-03T14:47:56Z,1641.17,14639.4,14.57,590.0,8.92
158,2013-09-03T23:19:00Z,1763.7,14130.83,12.03,525.0,8.01
159,2013-09-04T00:40:40Z,872.95,4808.08,9.51,253.0,5.51
144,2013-09-04T13:36:25Z,696.54,4711.73,11.64,150.0,6.76
